Cluster,Project Title,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Digital Technology Cluster,"Project Loop This project aims to bring more sustainable high-protein food options into grocery stores and to consumers. Project partners will develop faba protein and extruded ingredients, and from them, create high-protein consumer packaged goods. The consortium will also help scale up and improve current processing methods to support commercialization of the ingredient, including through the employment of a learning and information-sharing approach across the value chain.","Griffith Foods, Faba Canada, Botaniline, BFY Proteins",General,2.74,7.77,12/04/2024,"Toronto, ON"
Digital Technology Cluster,"Canadian Pilot Scale Processing of High Value Powdered Soymilk Ingredients for North American and Japanese Markets The project aims to build a pilot scale facility to provide further validation of the soymilk powder process developed in a previous project, as well as to build operational capacity to produce the soymilk powder to specification and at scale, in order to complete market assessments.","Alinova Canada, Marusam-AI, Earth's Own Foods, Flamaglo Foods",General,6.7,23.9,11/27/2024,"Inkerman, ON"
Digital Technology Cluster,"AI-Enhanced Agrifood Value Chain: From Precision Ag Production to Food Ingredient Processor Sustainability This project will be using artificial intelligence (AI) to improve crop production management and sustainability. By enhancing the precision of agricultural practices and increasing the adoption of technologies optimizing input efficiency, this project will reduce agricultural emissions and pesticide use, and establish reliable measurement, reporting, and verification (MRV) models to ensure transparency and traceability throughout the supply chain.","Croptimistic Technology, TheoryMesh, C-Merak",PCAIS,2.44,5.41,11/27/2024,"Saskatoon, SK"
Digital Technology Cluster,"Integration of animal-free collagen to enhance plant-based foods & pet nutrition This project is leveraging soluble, gellable collagen technology to enhance plant-based meat analogues and pet nutrition. This consortium aims to enhance the texture and nutritional profile of plant-based meat analogues, incorporate collagen in plant-based pet nutrition products and optimize processes to ensure cost effectiveness of collagen ingredients.","Liven Proteins, ALT-PRO",General,0.85,1.89,11/12/2024,"Toronto, ON"
Digital Technology Cluster,"Building a more nutritious future with Canadian proteins This project aims to improve the nutrition, flavour and texture of plant-based products through research. Partners also plan to scale the use of plant-based proteins in savoury, sweet, and shell pastry products.","Tartistes, Wamame Foods",General,1.43,5.98,11/12/2024,"Burnaby, BC"
Digital Technology Cluster,"Improving Plant-based Cheese Options This project will develop a new line of plant-based cheeses using pulses that aim to overcome the flavor, nutritional, and textural challenges of existing plant-based cheese products.","Daiya Foods, Ingredion Inc., Ingredion Plant Based Protein Specialties Inc., Lovingly Made Flour Mills",General,12.6,4.22,10/17/2024,"Burnaby, BC"
Digital Technology Cluster,In-Field Quality Insight for the Supply Chain This project will leverage AI to increase transparency in the food value chain by developing technology to predict and assess protein crops in the field during growing season and harvest.,"Ground Truth Agriculture, Parametrics.Ag, C-Merak Innovations, Cas-Grain Farms",PCAIS,2.02,4.49,07/11/2024,"Regina, SK"
Digital Technology Cluster,Advancing Sustainable Protein Solutions This project will advance the commercialization of extrusion technology and help bring new food and ingredients from pea and fava beans to consumers.,"Lovingly Made Flour Mills, TMRW Foods, Dutton Farms",General,3.28,7.68,06/25/2024,"Saskatoon, SK"
Digital Technology Cluster,"Low Cost and Sustainable Dry Fractionation of Hemp and Canola This project will validate and use large scale CO2 extraction technologies to create new high-quality protein and flour products from hemp and canola, including protein concentrate and gluten-free flour. Blue Sky also hopes to refine and commercialize food-grade oil or lecithin from secondary oil recovered from canola meal.","Blue Sky Hemp Ventures, THAR Processing, Virtex Grain Exchange",General,1.68,5.96,05/29/2024,"Saskatoon, SK"
Digital Technology Cluster,"Expanding the Canadian Lupin Ecosystem from Farm to Fork This project will conduct work to support the growth and widespread adoption of lupin crops in Canada, as well as a range of activities that contribute to the development, scale-up and improvement of consumer packaged goods and ingredients, including plant-based egg and dairy products, lupin flour and bakery mixes.",Deloitte Inc.,General,3.67,8.66,05/23/2024,"Calgary, AB"
Digital Technology Cluster,"Early detection of herbicide resistant weeds in protein crops using AI The project will create a novel AI-powered system to measure the efficacy of herbicides applied to plant protein crops to predict and control herbicide resistances. This system will analyse post-application fields on a plant-by-plant basis and identify specific resistance candidates very early, mapping them out over the field and enabling a precision application of additional herbicide to just those plants in order to control and prevent the proliferation of resistant weeds.","Precision.ai, Global Institute for Food Security (GIFS), GECO Enterprises Ltd, SureGrowth Solutions Ltd",PCAIS,2.77,6.16,05/15/2024,"Regina, SK"
Digital Technology Cluster,"Technology Development and Commercialization of New Pulse Protein This project aims to develop new technology and commercialization for pulse proteins, including fava and beans.","Roquette Canada, Prairie Fava, Plant Up, BioNeutra North America",General,10.75,24.52,05/07/2024,"Portage la Prairie, MB"
Digital Technology Cluster,"Accelerating the Use of Plant-based Protein Isolates This project will source, package, and scale a new reformulated ingredient blend for use in plant-based protein (PBP) consumer-ready products, including modular, ready-to-mix, and ready-to-drink low-volume liquid protein. Project partners will also be building on the success of a previous cluster-funded project to further commercialize and improve consumer-ready products within current and new markets.","Enhanced Medical Nutrition Inc., Acenzia Inc., Gruppo Nutrition Inc.",General,2.35,5.46,04/30/2024,"Toronto, ON"
Digital Technology Cluster,"Fueling Canada's Premium Functional Plant-Protein Sector This project will invest in new food technologies and products using local ingredients, while also developing, commercializing, and scaling a diverse range of products featuring sustainable Canadian proteins.","Wamame Foods Inc., AGT Foods and Ingredients Inc, Crush Dynamics Inc, Apex FoodSource Ltd",General,2.79,6.26,04/15/2024,"Vancouver, BC"
Digital Technology Cluster,"Hybrid Hemp Innovation Value Chain This project will bring together industry leaders to create an innovation value chain that develops hybrid hemp cultivars that meet both the physical and functional traits valued by processors, food ingredient companies, and consumers. This innovation value chain will also create an a system where functional and processing characteristics can be accessed, inputted, and provided feedback on, which will support future innovation in breeding high yielding hemp hybrids that both improve processing efficiency and meet consumer demands for taste and nutrition.","Verve Seed Solutions, Fresh Hemp Foods, Farmers Business Network Canada",General,2.56,5.72,04/04/2024,"Saskatoon, SK"
