Cluster,Project Title and Description,Project Partners,Project Type,Global Innovation Clusters Funding (M),Total Project Value (M),Date of Announcement,Project Location
Ocean Cluster,Indigenous Career Pivot Pilot This pilot program aims to facilitate and support meaningful work placements for Indigenous peoples wishing to explore career options in the ocean economy. The project will support the employment of approximately 10 Indigenous peoples in Ocean Cluster member organizations for 12-month placements. Participants will gain valuable experience in a new industry and will enhance their knowledge through placements that complement their existing skillset and natural aptitudes.,"Ulnooweg Development Group, JEDI, College of the North Atlantic",General,0.55,0.74,09/21/2020,"Truro, NS"
Ocean Cluster,Ocean Aware This project will develop next-generation underwater observation systems for deployment in zones of high commercial interest to enable both Canadian and global ocean industries to balance business efficiency and profitability with sustainable ocean business practices. The technologies and information-sharing concepts developed will improve monitoring capabilities over wide areas of ocean and will allow such monitoring to be done more economically and more quickly.,"Innovasea, Emera, Xeos Technologies, Dartmouth Ocean Technologies, Ocean Choice International, DFO, The Ocean Tracking Network, Irving Shipbuilding, Dalhousie University, Memorial University of Newfoundland",General,13.72,42.89,07/28/2020,"Bedford, NS"
Ocean Cluster,"Ocean Startup Through this project, partners will be supporting the development of ocean technology start-ups and increasing the industrial use of marine technologies. This innovative project will address talent challenges by growing the ocean workforce, helping new businesses hire employees with the skill sets they need. In addition, the project will encourage the participation of under-represented groups such as women and Indigenous groups in this vital economic sector.","The Genesis Centre, Innovacorp, PEI Bioalliance, New Brunswick Innovation Foundation, Dalhousie University, Springboard Atlantic, Mitacs, ACOA, (Provincial Governments)",General,4.08,7.1,02/21/2020,Multiple Locations
Ocean Cluster,"OceanVision These project partners will develop a turnkey service solution for the collection of seafloor imaging and mapping to be used by a number of ocean industries, including oil and gas, fishing, hydrographic, search and salvage, and military and defence. This new underwater service hub uses new marine technologies and products to produce high-resolution images of the seafloor, and will reduce the cost and risk of operating in ocean environments.","Kraken Robotics, Petroleum Research Newfoundland & Labrador, Ocean Choice International, Nunavut Fisheries Association, NRC, Government of Newfoundland",General,6.26,18.78,06/28/2019,Multiple Locations
Protein Industries Cluster,"Enhancing genomics in Canadian soybeans This project aims to establish a breeding program for non-GMO soybeans. The program will focus on breeding for competitive yield, SCN tolerance, and maturity to minimize the yield gap with GMO soybeans.","NRGene, Hensall Co-op, Yumasoy Foods Ltd., Pulse Genetics",General,1.89,4.28,06/23/2025,"Saskatoon, SK"
Protein Industries Cluster,"AI-Enhanced Grain Quality for Sustainable Agriculture This project will develop a solution that integrates advanced artificial intelligence and image processing technologies to provide accurate, real-time grain quality assessments using standard smartphone cameras.","Grain Discovery, Inarix, Sevita International",PCAIS,0.63,1.39,06/05/2025,"Picton, ON"
Protein Industries Cluster,"Investing in Canada's Oat protein future This project aims to develop and scale oat fractionation technology, which will contribute to the creation of a protein ingredient used in consumer packaged goods (CPG) products.","One Degree Organics, Vibrant Health, No Meat Factory, Tuft and Paw",General,12.2,4.99,05/29/2025,"Mission, BC"
Protein Industries Cluster,"Shooting for the Stars: Aiming for Burger Perfection The project will focus on developing a plant-based burger that mimics the taste, texture, and mouthfeel of traditional beef burgers.","LovinglyMade Flour Mills, Botaneco",General,0.24,0.53,05/15/2025,"Saskatoon, SK"
Protein Industries Cluster,"Lupin Loop This project aims to help develop an export market for a new lupin variety by testing its agronomy traits, functionality in ingredients and application into North American and European food product.",Lupin Platform,General,0.32,0.71,04/17/2025,"Calgary, AB"
Protein Industries Cluster,"Project Loop This project aims to bring more sustainable high-protein food options into grocery stores and to consumers. Project partners will develop faba protein and extruded ingredients, and from them, create high-protein consumer packaged goods. The consortium will also help scale up and improve current processing methods to support commercialization of the ingredient, including through the employment of a learning and information-sharing approach across the value chain.","Griffith Foods, Faba Canada, Botaniline, BFY Proteins",General,2.74,7.77,12/04/2024,"Toronto, ON"
Protein Industries Cluster,"Canadian Pilot Scale Processing of High Value Powdered Soymilk Ingredients for North American and Japanese Markets The project aims to build a pilot scale facility to provide further validation of the soymilk powder process developed in a previous project, as well as to build operational capacity to produce the soymilk powder to specification and at scale, in order to complete market assessments.","Alinova Canada, Marusam-AI, Earth's Own Foods, Flamaglo Foods",General,6.7,23.9,11/27/2024,"Inkerman, ON"
Protein Industries Cluster,"AI-Enhanced Agrifood Value Chain: From Precision Ag Production to Food Ingredient Processor Sustainability This project will be using artificial intelligence (AI) to improve crop production management and sustainability. By enhancing the precision of agricultural practices and increasing the adoption of technologies optimizing input efficiency, this project will reduce agricultural emissions and pesticide use, and establish reliable measurement, reporting, and verification (MRV) models to ensure transparency and traceability throughout the supply chain.","Croptimistic Technology, TheoryMesh, C-Merak",PCAIS,2.44,5.41,11/27/2024,"Saskatoon, SK"
Protein Industries Cluster,"Integration of animal-free collagen to enhance plant-based foods & pet nutrition This project is leveraging soluble, gellable collagen technology to enhance plant-based meat analogues and pet nutrition. This consortium aims to enhance the texture and nutritional profile of plant-based meat analogues, incorporate collagen in plant-based pet nutrition products and optimize processes to ensure cost effectiveness of collagen ingredients.","Liven Proteins, ALT-PRO",General,0.85,1.89,11/12/2024,"Toronto, ON"
Protein Industries Cluster,"Building a more nutritious future with Canadian proteins This project aims to improve the nutrition, flavour and texture of plant-based products through research. Partners also plan to scale the use of plant-based proteins in savoury, sweet, and shell pastry products.","Tartistes, Wamame Foods",General,1.43,5.98,11/12/2024,"Burnaby, BC"
Protein Industries Cluster,"Improving Plant-based Cheese Options This project will develop a new line of plant-based cheeses using pulses that aim to overcome the flavor, nutritional, and textural challenges of existing plant-based cheese products.","Daiya Foods, Ingredion Inc., Ingredion Plant Based Protein Specialties Inc., Lovingly Made Flour Mills",General,12.6,4.22,10/17/2024,"Burnaby, BC"
